Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 3, 193, 56, 0, 0, 0, 
5, 5, 165, 9, 0, 0, 0, 
5, 10, 101, 6, 0, 0, 0, 
5, 16, 170, 31, 0, 0, 0, 
5, 19, 58, 1, 0, 0, 0, 
5, 19, 87, 10, 0, 0, 0, 
5, 20, 180, 40, 0, 0, 0, 
5, 22, 110, 0, 0, 0, 0, 
5, 24, 131, 9, 0, 0, 0, 
5, 25, 50, 7, 0, 0, 0, 
5, 27, 201, 4, 0, 0, 0, 
5, 31, 119, 15, 0, 0, 0, 
5, 34, 149, 19, 0, 0, 0, 
5, 35, 142, 6, 0, 0, 0, 
5, 40, 155, 11, 0, 0, 0, 
5, 40, 187, 4, 0, 0, 0, 
5, 44, 205, 11, 0, 0, 0, 
5, 46, 202, 1, 0, 0, 0, 
5, 47, 14, 0, 0, 0, 0, 
5, 49, 111, 6, 0, 0, 0, 
5, 52, 161, 36, 0, 0, 0, 
5, 53, 206, 5, 0, 0, 0, 
5, 54, 110, 2, 0, 0, 0, 
5, 58, 6, 17, 0, 0, 0, 
5, 58, 192, 59, 0, 0, 0, 
5, 61, 148, 1, 0, 0, 0, 
5, 64, 125, 10, 0, 0, 0, 
5, 67, 40, 54, 0, 0, 0, 
5, 69, 83, 51, 0, 0, 0, 
5, 72, 106, 53, 0, 0, 0, 
5, 76, 151, 10, 0, 0, 0, 
5, 76, 162, 1, 0, 0, 0, 
5, 77, 81, 82, 0, 0, 0, 
5, 78, 46, 6, 0, 0, 0, 
5, 78, 186, 43, 0, 0, 0, 
5, 88, 163, 16, 0, 0, 0, 
5, 91, 194, 14, 0, 0, 0, 
5, 96, 9, 13, 0, 0, 0, 
5, 97, 27, 23, 0, 0, 0, 
5, 98, 85, 5, 0, 0, 0, 
5, 98, 117, 39, 0, 0, 0, 
5, 104, 17, 37, 0, 0, 0, 
5, 104, 83, 0, 0, 0, 0, 
5, 105, 10, 19, 0, 0, 0, 
5, 105, 177, 6, 0, 0, 0, 
5, 111, 162, 7, 0, 0, 0, 
5, 123, 97, 20, 0, 0, 0, 
5, 124, 132, 2, 0, 0, 0, 
5, 124, 146, 8, 0, 0, 0, 
