Time,InitialSiteRow,InitialSiteColumn,SitesChecked,CohortsKilled,MeanSeverity,empty,sw.slope,ne.slope,ridge,updrain,bottoms,gentleslope,sw.slope1,ne.slope1,ridge1,updrain1,bottoms1,gentleslope1,sw.slope2,ne.slope2,ridge2,updrain2,bottoms2,gentleslope2,TotalBurnedSites
5,5,147,1,37,5.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0, 1
5,8,106,7,150,4.1,0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,0, 7
5,9,127,46,755,4.3,0,0,0,0,0,0,0,15,13,9,0,7,2,0,0,0,0,0,0, 46
5,15,143,5,93,4.2,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0, 5
5,17,30,23,321,4.2,0,2,1,0,0,0,0,9,4,3,1,1,2,0,0,0,0,0,0, 23
5,22,91,4,94,4.0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0, 4
5,25,173,5,30,4.4,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0, 5
5,26,135,3,41,4.0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0, 3
5,30,194,12,132,4.3,0,0,0,0,0,0,0,5,2,2,1,2,0,0,0,0,0,0,0, 12
5,31,156,5,76,4.2,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0, 5
5,35,89,4,34,5.0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0, 4
5,39,193,7,37,4.4,0,0,0,0,0,0,0,1,2,2,0,1,1,0,0,0,0,0,0, 7
5,41,48,1,25,5.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0, 1
5,45,144,32,211,4.0,0,0,0,0,0,0,0,9,4,9,2,7,1,0,0,0,0,0,0, 32
5,46,155,2,27,4.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, 2
5,50,113,3,39,4.7,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0, 3
5,52,163,24,143,4.3,0,0,0,0,0,0,0,6,6,5,1,5,1,0,0,0,0,0,0, 24
5,53,167,12,37,3.9,0,0,0,0,0,0,0,1,7,1,1,2,0,0,0,0,0,0,0, 12
5,54,171,2,25,4.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0, 2
5,63,114,19,74,4.1,0,0,0,0,0,0,0,3,4,9,0,3,0,0,0,0,0,0,0, 19
5,64,84,4,35,4.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0, 4
5,66,92,18,32,4.1,0,0,0,0,0,0,0,7,5,3,1,1,1,0,0,0,0,0,0, 18
5,71,124,2,36,4.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0, 2
5,73,198,52,169,4.2,0,0,0,0,0,0,0,19,18,7,1,7,0,0,0,0,0,0,0, 52
5,88,166,34,33,4.1,0,0,0,0,0,0,0,10,8,9,1,5,1,0,0,0,0,0,0, 34
5,97,181,39,41,4.2,0,0,0,0,0,0,0,13,7,5,1,9,4,0,0,0,0,0,0, 39
5,102,150,10,19,4.6,0,0,0,0,0,0,0,2,6,1,0,1,0,0,0,0,0,0,0, 10
5,112,103,2,19,4.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0, 2
5,125,129,17,68,4.4,0,0,0,0,0,0,0,5,5,1,0,4,2,0,0,0,0,0,0, 17
10,32,72,2,38,3.0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0, 2
10,149,163,9,31,3.7,0,0,0,0,0,0,0,2,0,1,0,3,3,0,0,0,0,0,0, 9
